INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
73907092,73907092,0,0,10,73907092,9483138490,2499,4667,0,2167,73907092,2499,73907092,9483137110,0,1380,0,4,0.000,-3.138,0.000,4.009
73909591,73909591,0,0,6,73909591,9483141824,2499,3334,0,834,73909591,2499,73909591,9483140897,0,927,0,4,0.000,-3.142,0.000,4.014
73912090,73912090,0,0,7,73912090,9483146096,2499,4272,0,1772,73912090,2499,73912090,9483145161,0,935,0,4,0.000,-3.146,0.000,4.021
73914589,73914589,0,833,7,73914589,9483151654,2499,5558,0,3058,73914589,2499,73914589,9483150321,0,1333,0,4,0.000,-3.135,0.000,4.006
73917088,73917088,0,0,4,73917088,9483154503,2499,2849,0,349,73917088,2499,73916255,9483153204,833,1299,0,4,0.000,-3.140,0.000,4.012
73920420,73920420,0,0,7,73920420,9483161226,3332,6723,832,4223,73920420,3332,73920420,9483160748,0,478,0,4,0.000,-3.146,0.000,4.019
73923752,73923752,0,0,8,73923752,9483167371,3332,6145,832,3645,73923752,3332,73923752,9483166481,0,890,0,4,0.000,-3.151,0.000,4.025
73925418,73925418,0,0,6,73925418,9483170274,1666,2903,0,403,73925418,1666,73925418,9483169335,0,939,0,4,0.000,-3.142,0.000,4.011
73927917,73927917,0,0,6,73927917,9483174332,2499,4058,0,1558,73927917,2499,73927917,9483173887,0,445,0,4,0.000,-3.146,0.000,4.016
73930416,73930416,0,0,8,73930416,9483179402,2499,5070,0,2570,73930416,2499,73930416,9483178931,0,471,0,4,0.000,-3.151,0.000,4.023
73932915,73932915,0,0,7,73932915,9483184013,2499,4611,0,2111,73932915,2499,73932915,9483183553,0,460,0,4,0.000,-3.157,0.000,4.027
73935414,73935414,0,0,6,73935414,9483189352,2499,5339,0,2839,73935414,2499,73935414,9483188818,0,534,0,4,0.000,-3.150,0.000,4.018
73937913,73937913,0,833,6,73937913,9483193772,2499,4420,0,1920,73937913,2499,73937913,9483192721,0,1051,0,4,0.000,-3.153,0.000,4.022
73940412,73940412,0,0,18,73940412,9483199247,2499,5475,0,2975,73940412,2499,73940412,9483197388,0,1859,0,4,0.000,-3.158,0.000,4.031
73942911,73942911,0,833,9,73942911,9483203945,2499,4698,0,2198,73942911,2499,73942911,9483202481,0,1464,0,4,0.000,-3.162,0.000,4.036
73945410,73945410,0,0,8,73945410,9483208229,2499,4284,0,1784,73945410,2499,73945410,9483207000,0,1229,0,4,0.000,-3.155,0.000,4.027
73947909,73947909,0,0,11,73947909,9483212418,2499,4189,0,1689,73947909,2499,73947909,9483211402,0,1016,0,4,0.000,-3.159,0.000,4.032
73950408,73950408,0,0,7,73950408,9483216514,2499,4096,0,1596,73950408,2499,73950408,9483215312,0,1202,0,4,0.000,-3.164,0.000,4.041
73952907,73952907,0,833,7,73952907,9483220882,2499,4368,0,1868,73952907,2499,73952907,9483219350,0,1532,0,4,0.000,-3.169,0.000,4.045
73955406,73955406,0,0,7,73955406,9483223647,2499,2765,0,265,73955406,2499,73955406,9483223159,0,488,0,4,0.000,-3.148,0.000,4.020
73957905,73957905,0,0,7,73957905,9483228975,2499,5328,0,2828,73957905,2499,73957905,9483228702,0,273,0,4,0.000,-3.151,0.000,4.025
