event_index,ros_before_sleep_sec,ros_after_sleep_sec,ros_elapsed_during_sleep_ms,nominal_cycle_ms,cycle_interval_ms,cycle_displacement_ms,requested_delay_us,measured_delay_us,delay_error_us
20,87.241000000,89.228000000,1987.000000000,100.000000000,2102.635707000,2002.635707000,2000000,2000663,663
21,89.277000000,91.260000000,1983.000000000,100.000000000,2049.879401000,1949.879401000,2000000,2000059,59
22,91.317000000,93.287000000,1970.000000000,100.000000000,2056.882232000,1956.882232000,2000000,2000039,39
23,93.380000000,95.382000000,2002.000000000,100.000000000,2097.463144000,1997.463144000,2000000,2000058,58
24,95.471000000,97.468000000,1997.000000000,100.000000000,2085.081012000,1985.081012000,2000000,2000058,58
25,97.508000000,99.481000000,1973.000000000,100.000000000,2042.684485000,1942.684485000,2000000,2000058,58
26,99.522000000,101.485000000,1963.000000000,100.000000000,2041.684725000,1941.684725000,2000000,2000035,35
27,101.572000000,103.550000000,1978.000000000,100.000000000,2094.693682000,1994.693682000,2000000,2000070,70
28,103.736000000,105.727000000,1991.000000000,100.000000000,2176.425778000,2076.425778000,2000000,2000058,58
29,105.867000000,107.851000000,1984.000000000,100.000000000,2145.982645000,2045.982645000,2000000,2000273,273
30,107.904000000,109.889000000,1985.000000000,100.000000000,2052.316551000,1952.316551000,2000000,2000058,58
31,109.947000000,111.920000000,1973.000000000,100.000000000,2059.917353000,1959.917353000,2000000,2000060,60
32,111.992000000,113.980000000,1988.000000000,100.000000000,2065.726260000,1965.726260000,2000000,2000057,57
33,114.040000000,116.029000000,1989.000000000,100.000000000,2061.356259000,1961.356259000,2000000,2000211,211
34,116.114000000,118.074000000,1960.000000000,100.000000000,2087.113536000,1987.113536000,2000000,2000058,58
35,118.129000000,120.115000000,1986.000000000,100.000000000,2057.493029000,1957.493029000,2000000,2000020,20
36,120.178000000,122.170000000,1992.000000000,100.000000000,2071.938133000,1971.938133000,2000000,2000059,59
37,122.210000000,124.204000000,1994.000000000,100.000000000,2048.051780000,1948.051780000,2000000,2000169,169
38,124.298000000,126.296000000,1998.000000000,100.000000000,2095.834822000,1995.834822000,2000000,2000059,59
39,126.362000000,128.358000000,1996.000000000,100.000000000,2063.798464000,1963.798464000,2000000,2000059,59
40,128.440000000,130.409000000,1969.000000000,100.000000000,2079.612052000,1979.612052000,2000000,2000058,58
41,130.463000000,132.432000000,1969.000000000,100.000000000,2059.310922000,1959.310922000,2000000,2000059,59
42,132.491000000,134.481000000,1990.000000000,100.000000000,2058.527228000,1958.527228000,2000000,2000059,59
43,134.560000000,136.546000000,1986.000000000,100.000000000,2078.804127000,1978.804127000,2000000,2000059,59
44,136.610000000,138.590000000,1980.000000000,100.000000000,2064.664942000,1964.664942000,2000000,2000032,32
45,138.637000000,140.636000000,1999.000000000,100.000000000,2045.293240000,1945.293240000,2000000,2000059,59
46,140.689000000,142.673000000,1984.000000000,100.000000000,2055.002674000,1955.002674000,2000000,2000068,68
47,142.734000000,144.724000000,1990.000000000,100.000000000,2062.976764000,1962.976764000,2000000,2000058,58
48,144.784000000,146.754000000,1970.000000000,100.000000000,2064.006498000,1964.006498000,2000000,2000222,222
49,146.827000000,148.810000000,1983.000000000,100.000000000,2076.040808000,1976.040808000,2000000,2000066,66
50,148.851000000,150.843000000,1992.000000000,100.000000000,2052.054526000,1952.054526000,2000000,2000078,78
51,150.915000000,152.915000000,2000.000000000,100.000000000,2067.968588000,1967.968588000,2000000,2000059,59
52,152.977000000,154.957000000,1980.000000000,100.000000000,2063.548948000,1963.548948000,2000000,2000058,58
53,155.016000000,157.011000000,1995.000000000,100.000000000,2054.822844000,1954.822844000,2000000,2000059,59
54,157.066000000,159.046000000,1980.000000000,100.000000000,2052.732762000,1952.732762000,2000000,2000092,92
55,159.094000000,161.065000000,1971.000000000,100.000000000,2052.278245000,1952.278245000,2000000,2000059,59
56,161.121000000,163.114000000,1993.000000000,100.000000000,2057.268259000,1957.268259000,2000000,2000788,788
57,163.178000000,165.157000000,1979.000000000,100.000000000,2063.197861000,1963.197861000,2000000,2000095,95
58,165.204000000,167.193000000,1989.000000000,100.000000000,2046.810035000,1946.810035000,2000000,2000059,59
59,167.254000000,169.259000000,2005.000000000,100.000000000,2066.159947000,1966.159947000,2000000,2000080,80
