configuration,metric,run_count,mean,sample_std,min,max
A-E4,post6s_velocity_max_error_cm_s,3,104.76183857340924,0.37869259092530155,104.42709155195313,105.17286429968522
A-E4,post200_control_interval_mean_ms,3,4.5351799999999995,0.0837439061962125,4.43866,4.588535
A-E4,post200_control_interval_max_ms,3,7.6063333333333345,0.6307149382512939,6.905,8.127
A-E4,post200_wpnav_elapsed_mean_ms,3,0.016285000000000004,0.0008755997944266548,0.015455000000000003,0.017200000000000003
A-E4,post200_wpnav_elapsed_max_ms,3,0.11166666666666668,0.0140118997046558,0.098,0.126
A-E4,post200_state_temporal_displacement_mean_ms,3,0.13883333333333334,0.014626999293543887,0.12494999999999999,0.154105
A-E4,post200_state_temporal_displacement_max_ms,3,0.8329999999999999,1.3597399555105182e-16,0.833,0.833
A-E4,post200_producer_age_mean_ms,3,0.01943666666666666,0.004809327742349583,0.016659999999999998,0.02499
A-E4,post200_producer_age_max_ms,3,0.8329999999999999,1.3597399555105182e-16,0.833,0.833
A-E4,post200_ins_unchanged_percent,3,100.0,0.0,100.0,100.0
A-E4,post6s_control_interval_mean_ms,3,4.506307514805507,0.09328872973104932,4.451110534124629,4.614016910069177
A-E4,post6s_control_interval_max_ms,3,9.743333333333332,0.9038331335668846,8.854,10.661
A-E4,post6s_wpnav_elapsed_mean_ms,3,0.015291641107873582,0.0008380578817757093,0.014590504451038577,0.016219830899308226
A-E4,post6s_wpnav_elapsed_max_ms,3,0.11166666666666668,0.0140118997046558,0.098,0.126
A-E4,post6s_state_temporal_displacement_mean_ms,3,0.15234964621211916,0.018039248917702047,0.13224183976261128,0.1671122213681783
A-E4,post6s_state_temporal_displacement_max_ms,3,0.8329999999999999,1.3597399555105182e-16,0.833,0.833
A-E4,post6s_producer_age_mean_ms,3,0.022703957870655076,0.0018466953295393454,0.02112913143735588,0.024736451373422414
A-E4,post6s_producer_age_max_ms,3,0.8329999999999999,1.3597399555105182e-16,0.833,0.833
A-E4,post6s_ins_unchanged_percent,3,100.0,0.0,100.0,100.0
