INS_BEFORE_WPNAV_US,INS_AFTER_WPNAV_US,INS_UPDATED_DURING_WPNAV,STATE_AGE_AT_WPNAV_US,WPNAV_ELAPSED_WALL_US,SIM_TIME_US,WALL_TIME_US,CONTROL_DT_SIM_US,CONTROL_DT_WALL_US,CONTROL_OVERRUN_SIM_US,CONTROL_OVERRUN_WALL_US,INS_UPDATE_US,INS_DT_US,PRODUCER_SIM_US,PRODUCER_WALL_US,AGE_SIM_US,AGE_WALL_US,NAV_INDEX,WP_DISTANCE_CM,REF_VEL_N,SIM_VEL_N,REF_VEL_E,SIM_VEL_E
93943241,93943241,0,0,4,93943241,7558171534,2499,119,0,0,93943241,2499,0,0,0,0,3,5736,87.462,66.131,315.431,380.223
93945740,93945740,0,0,4,93945740,7558171634,2499,100,0,0,93945740,2499,0,0,0,0,3,5736,87.614,66.207,315.134,380.057
93948239,93948239,0,0,4,93948239,7558171758,2499,124,0,0,93948239,2499,0,0,0,0,3,5736,87.763,66.284,314.747,379.687
93950738,93950738,0,0,4,93950738,7558171872,2499,114,0,0,93950738,2499,0,0,0,0,3,5736,87.923,66.343,314.478,379.439
93953237,93953237,0,0,3,93953237,7558171991,2499,119,0,0,93953237,2499,0,0,0,0,3,5736,88.072,66.466,314.090,379.081
93955736,93955736,0,0,4,93955736,7558172091,2499,100,0,0,93955736,2499,0,0,0,0,3,5735,88.226,66.538,313.793,378.950
93958235,93958235,0,0,6,93958235,7558172343,2499,252,0,0,93958235,2499,0,0,0,0,3,5735,88.376,66.628,313.405,378.618
93960734,93960734,0,0,4,93960734,7558172494,2499,151,0,0,93960734,2499,0,0,0,0,3,5735,88.537,66.691,313.135,378.360
93963233,93963233,0,0,12,93963233,7558204185,2499,31691,0,29191,93963233,2499,0,0,0,0,3,5735,88.687,66.779,312.747,378.006
93965732,93965732,0,0,4,93965732,7558204330,2499,145,0,0,93965732,2499,0,0,0,0,3,5735,88.842,66.877,312.450,377.823
93968231,93968231,0,0,3,93968231,7558204456,2499,126,0,0,93968231,2499,0,0,0,0,3,5734,88.993,66.969,312.061,377.464
93970730,93970730,0,0,3,93970730,7558204561,2499,105,0,0,93970730,2499,0,0,0,0,3,5734,89.155,67.057,311.791,377.246
93973229,93973229,0,0,4,93973229,7558204663,2499,102,0,0,93973229,2499,0,0,0,0,3,5734,89.306,67.188,311.401,376.890
93975728,93975728,0,0,4,93975728,7558204756,2499,93,0,0,93975728,2499,0,0,0,0,3,5734,89.462,67.300,311.104,376.770
93978227,93978227,0,0,3,93978227,7558204865,2499,109,0,0,93978227,2499,0,0,0,0,3,5734,89.614,67.399,310.714,376.408
93980726,93980726,0,0,3,93980726,7558204957,2499,92,0,0,93980726,2499,0,0,0,0,3,5734,89.776,67.477,310.443,376.118
93983225,93983225,0,0,3,93983225,7558205058,2499,101,0,0,93983225,2499,0,0,0,0,3,5733,89.928,67.527,310.053,375.839
93985724,93985724,0,0,3,93985724,7558205149,2499,91,0,0,93985724,2499,0,0,0,0,3,5733,90.086,67.637,309.756,375.637
93988223,93988223,0,0,3,93988223,7558205258,2499,109,0,0,93988223,2499,0,0,0,0,3,5733,90.238,67.764,309.366,375.329
93990722,93990722,0,0,4,93990722,7558205353,2499,95,0,0,93990722,2499,0,0,0,0,3,5733,90.402,67.871,309.094,375.135
93993221,93993221,0,0,4,93993221,7558205454,2499,101,0,0,93993221,2499,0,0,0,0,3,5733,90.555,67.983,308.703,374.819
93995720,93995720,0,0,12,93995720,7558236768,2499,31314,0,28814,93995720,2499,0,0,0,0,3,5732,90.714,68.074,308.406,374.599
93998219,93998219,0,0,3,93998219,7558236981,2499,213,0,0,93998219,2499,0,0,0,0,3,5732,90.867,68.152,308.014,374.250
94000718,94000718,0,0,3,94000718,7558237078,2499,97,0,0,94000718,2499,0,0,0,0,3,5732,91.031,68.233,307.742,374.034
94003217,94003217,0,0,4,94003217,7558237182,2499,104,0,0,94003217,2499,0,0,0,0,3,5732,91.185,68.349,307.350,373.659
94005716,94005716,0,0,3,94005716,7558237271,2499,89,0,0,94005716,2499,0,0,0,0,3,5732,91.346,68.464,307.053,373.444
94008215,94008215,0,0,4,94008215,7558237385,2499,114,0,0,94008215,2499,0,0,0,0,3,5731,91.500,68.556,306.661,373.103
94010714,94010714,0,0,3,94010714,7558237489,2499,104,0,0,94010714,2499,0,0,0,0,3,5731,91.665,68.667,306.388,372.818
94013213,94013213,0,0,3,94013213,7558237829,2499,340,0,0,94013213,2499,0,0,0,0,3,5731,91.820,68.768,305.995,372.496
94015712,94015712,0,0,3,94015712,7558237919,2499,90,0,0,94015712,2499,0,0,0,0,3,5731,91.981,68.848,305.698,372.253
94018211,94018211,0,0,3,94018211,7558238038,2499,119,0,0,94018211,2499,0,0,0,0,3,5731,92.136,68.959,305.305,371.948
94020710,94020710,0,0,4,94020710,7558238129,2499,91,0,0,94020710,2499,0,0,0,0,3,5731,92.303,69.048,305.031,371.672
94023209,94023209,0,0,3,94023209,7558238228,2499,99,0,0,94023209,2499,0,0,0,0,3,5730,92.459,69.184,304.638,371.317
94025708,94025708,0,0,3,94025708,7558238316,2499,88,0,0,94025708,2499,0,0,0,0,3,5730,92.621,69.284,304.341,371.147
94028207,94028207,0,0,4,94028207,7558238571,2499,255,0,0,94028207,2499,0,0,0,0,3,5730,92.777,69.436,303.946,370.809
94030706,94030706,0,0,15,94030706,7558270080,2499,31509,0,29009,94030706,2499,0,0,0,0,3,5730,92.944,69.487,303.672,370.559
94033205,94033205,0,0,4,94033205,7558270243,2499,163,0,0,94033205,2499,0,0,0,0,3,5730,93.101,69.685,303.278,370.245
94035704,94035704,0,0,4,94035704,7558270470,2499,227,0,0,94035704,2499,0,0,0,0,3,5729,93.265,69.790,302.981,370.050
94038203,94038203,0,0,3,94038203,7558270608,2499,138,0,0,94038203,2499,0,0,0,0,3,5729,93.421,69.903,302.586,369.693
94040702,94040702,0,0,4,94040702,7558270707,2499,99,0,0,94040702,2499,0,0,0,0,3,5729,93.590,70.007,302.311,369.440
94043201,94043201,0,0,3,94043201,7558270808,2499,101,0,0,94043201,2499,0,0,0,0,3,5729,93.747,70.090,301.915,369.078
94045700,94045700,0,0,3,94045700,7558270897,2499,89,0,0,94045700,2499,0,0,0,0,3,5729,93.912,70.191,301.618,368.888
94048199,94048199,0,0,3,94048199,7558271007,2499,110,0,0,94048199,2499,0,0,0,0,3,5729,94.069,70.387,301.222,368.541
94050698,94050698,0,0,5,94050698,7558271232,2499,225,0,0,94050698,2499,0,0,0,0,3,5728,94.239,70.476,300.947,368.301
94053197,94053197,0,0,3,94053197,7558271343,2499,111,0,0,94053197,2499,0,0,0,0,3,5728,94.397,70.568,300.550,367.982
94055696,94055696,0,0,6,94055696,7558271444,2499,101,0,0,94055696,2499,0,0,0,0,3,5728,94.564,70.639,300.253,367.739
94058195,94058195,0,0,7,94058195,7558271690,2499,246,0,0,94058195,2499,0,0,0,0,3,5728,94.722,70.786,299.856,367.360
94060694,94060694,0,0,4,94060694,7558271829,2499,139,0,0,94060694,2499,0,0,0,0,3,5728,94.893,70.863,299.580,367.179
